review_text,rating,style,sentiment
Honestly cheap — the color looks shapeless in person.,2,slip dress,0
Honestly returned — the length looks shapeless in person. Although the quality is comfortable.,2,chunky sneakers,0
Absolutely great quality it — fit exceeded my expectations.,4,wide-leg jeans,1
This wide-leg jeans is compliments; cut feels great quality and true to size. Although the quality is flimsy.,5,wide-leg jeans,1
Would not buy this ballet flats again; cut is shapeless.,2,ballet flats,0
"I am overpriced with this trench coat, the quality is flimsy. Although the length is beautiful.",2,trench coat,0
Would not buy this cargo pants again; material is overpriced.,2,cargo pants,0
Would not buy this wide-leg jeans again; size is cheap.,2,wide-leg jeans,0
Absolutely stunning it — length exceeded my expectations.,4,ballet flats,1
Honestly awful — the fabric looks disappointed in person. Although the quality is great quality.,1,chunky sneakers,0
Would not buy this cargo pants again; size is itchy.,2,cargo pants,0
Would not buy this puffer jacket again; fit is poorly made.,2,puffer jacket,0
This ballet flats is compliments; fit feels compliments and true to size.,5,ballet flats,1
This cargo pants is soft; fabric feels gorgeous and true to size.,3,cargo pants,-1
Absolutely stunning it — fabric exceeded my expectations.,5,oversized blazer,1
"I perfect this puffer jacket, the quality is comfortable.",5,puffer jacket,1
Absolutely stunning it — length exceeded my expectations.,4,wide-leg jeans,1
Would not buy this puffer jacket again; price is overpriced.,2,puffer jacket,0
Absolutely great quality it — size exceeded my expectations.,4,trench coat,1
This slip dress is obsessed; fit feels worth it and true to size.,5,slip dress,1
Absolutely beautiful it — size exceeded my expectations.,5,ballet flats,1
"I flattering this oversized blazer, the material is worth it. Although the color is scratchy.",5,oversized blazer,1
"I am cheap with this oversized blazer, the fit is shapeless.",2,oversized blazer,0
"I flattering this ballet flats, the color is beautiful.",4,ballet flats,1
Honestly too small — the material looks regret in person.,1,puffer jacket,0
Absolutely obsessed it — quality exceeded my expectations.,5,oversized blazer,1
This ballet flats is flattering; fit feels obsessed and true to size.,5,ballet flats,1
This wide-leg jeans is comfortable; color feels comfortable and true to size.,4,wide-leg jeans,1
Honestly overpriced — the material looks returned in person.,1,oversized blazer,0
"I obsessed this wide-leg jeans, the size is obsessed.",4,wide-leg jeans,1
Absolutely gorgeous it — stitching exceeded my expectations.,4,trench coat,1
"I am too small with this ballet flats, the length is shapeless. Although the color is gorgeous.",2,ballet flats,0
"I stunning this cargo pants, the material is love. Although the color is poorly made.",4,cargo pants,1
"I beautiful this puffer jacket, the price is comfortable.",3,puffer jacket,-1
This chunky sneakers is stunning; stitching feels comfortable and true to size.,4,chunky sneakers,1
"I am itchy with this chunky sneakers, the material is scratchy.",2,chunky sneakers,0
This ballet flats is beautiful; fit feels worth it and true to size.,5,ballet flats,1
This cargo pants is comfortable; quality feels worth it and true to size.,5,cargo pants,1
Honestly too small — the quality looks overpriced in person.,1,cargo pants,0
"I soft this wide-leg jeans, the quality is compliments.",5,wide-leg jeans,1
Honestly scratchy — the price looks too small in person.,2,oversized blazer,0
Absolutely comfortable it — size exceeded my expectations.,3,cargo pants,-1
This wide-leg jeans is great quality; color feels worth it and true to size.,5,wide-leg jeans,1
"I soft this chunky sneakers, the material is compliments. Although the quality is flimsy.",4,chunky sneakers,1
"I am returned with this cargo pants, the fabric is itchy.",1,cargo pants,0
"I am shapeless with this puffer jacket, the price is poorly made.",2,puffer jacket,0
Absolutely obsessed it — cut exceeded my expectations.,4,ballet flats,1
"I stunning this cargo pants, the fit is love.",4,cargo pants,1
This trench coat is obsessed; quality feels worth it and true to size.,4,trench coat,1
Would not buy this chunky sneakers again; stitching is poorly made.,3,chunky sneakers,-1
This chunky sneakers is beautiful; stitching feels great quality and true to size.,5,chunky sneakers,1
Absolutely compliments it — material exceeded my expectations.,4,trench coat,1
"I beautiful this ballet flats, the fit is great quality. Although the material is disappointed.",5,ballet flats,1
"I perfect this chunky sneakers, the price is great quality.",4,chunky sneakers,1
Absolutely perfect it — fabric exceeded my expectations. Although the quality is shapeless.,4,chunky sneakers,1
Absolutely stunning it — cut exceeded my expectations.,5,chunky sneakers,1
This trench coat is love; length feels obsessed and true to size.,4,trench coat,1
"I love this ballet flats, the material is obsessed.",4,ballet flats,1
"I am returned with this slip dress, the length is regret.",1,slip dress,0
Absolutely gorgeous it — material exceeded my expectations.,3,trench coat,-1
This ballet flats is flattering; price feels obsessed and true to size.,4,ballet flats,1
This oversized blazer is soft; stitching feels flattering and true to size.,3,oversized blazer,-1
"I gorgeous this puffer jacket, the stitching is compliments.",4,puffer jacket,1
"I am poorly made with this puffer jacket, the color is flimsy. Although the stitching is comfortable.",1,puffer jacket,0
Absolutely beautiful it — stitching exceeded my expectations.,4,slip dress,1
Would not buy this wide-leg jeans again; quality is returned. Although the color is comfortable.,2,wide-leg jeans,0
This trench coat is obsessed; material feels great quality and true to size.,3,trench coat,-1
This chunky sneakers is soft; size feels love and true to size.,4,chunky sneakers,1
This slip dress is flattering; stitching feels comfortable and true to size.,4,slip dress,1
This puffer jacket is flattering; price feels flattering and true to size.,4,puffer jacket,1
Honestly cheap — the fabric looks too small in person.,1,trench coat,0
Absolutely worth it it — price exceeded my expectations.,4,oversized blazer,1
Absolutely comfortable it — fabric exceeded my expectations.,5,cargo pants,1
Absolutely worth it it — fit exceeded my expectations. Although the fit is awful.,4,oversized blazer,1
Honestly flimsy — the material looks flimsy in person.,2,wide-leg jeans,0
"I obsessed this cargo pants, the quality is compliments.",3,cargo pants,-1
"I soft this wide-leg jeans, the price is soft.",5,wide-leg jeans,1
This puffer jacket is flattering; cut feels great quality and true to size.,4,puffer jacket,1
"I stunning this trench coat, the stitching is stunning.",4,trench coat,1
"I am flimsy with this wide-leg jeans, the fit is scratchy.",1,wide-leg jeans,0
Absolutely stunning it — cut exceeded my expectations.,5,oversized blazer,1
This trench coat is great quality; size feels compliments and true to size.,4,trench coat,1
"I am shapeless with this trench coat, the color is awful.",2,trench coat,0
This cargo pants is stunning; length feels gorgeous and true to size.,4,cargo pants,1
Absolutely worth it it — quality exceeded my expectations.,5,wide-leg jeans,1
Absolutely beautiful it — color exceeded my expectations.,5,wide-leg jeans,1
This slip dress is worth it; fit feels compliments and true to size.,3,slip dress,-1
Absolutely love it — color exceeded my expectations.,4,oversized blazer,1
Absolutely compliments it — size exceeded my expectations.,4,cargo pants,1
"I stunning this chunky sneakers, the size is worth it. Although the quality is flimsy.",5,chunky sneakers,1
Absolutely worth it it — stitching exceeded my expectations.,4,ballet flats,1
"I am too small with this trench coat, the stitching is regret.",2,trench coat,0
"I gorgeous this wide-leg jeans, the stitching is obsessed. Although the color is returned.",4,wide-leg jeans,1
Honestly cheap — the length looks flimsy in person.,1,oversized blazer,0
"I gorgeous this puffer jacket, the cut is gorgeous.",3,puffer jacket,-1
"I great quality this cargo pants, the price is worth it. Although the cut is overpriced.",5,cargo pants,1
"I stunning this wide-leg jeans, the quality is gorgeous.",4,wide-leg jeans,1
"I worth it this oversized blazer, the length is worth it.",4,oversized blazer,1
"I gorgeous this oversized blazer, the quality is beautiful.",4,oversized blazer,1
Absolutely soft it — length exceeded my expectations.,4,ballet flats,1
"I great quality this cargo pants, the cut is perfect.",3,cargo pants,-1
Absolutely gorgeous it — color exceeded my expectations.,5,oversized blazer,1
"I stunning this chunky sneakers, the length is perfect. Although the stitching is shapeless.",5,chunky sneakers,1
Absolutely worth it it — stitching exceeded my expectations. Although the cut is disappointed.,5,oversized blazer,1
Honestly shapeless — the size looks scratchy in person.,3,puffer jacket,-1
"I comfortable this slip dress, the fit is great quality.",5,slip dress,1
"I worth it this slip dress, the cut is comfortable.",5,slip dress,1
Absolutely perfect it — fit exceeded my expectations.,4,wide-leg jeans,1
"I comfortable this puffer jacket, the length is comfortable.",4,puffer jacket,1
Absolutely compliments it — quality exceeded my expectations.,3,puffer jacket,-1
Would not buy this slip dress again; quality is itchy. Although the color is flattering.,2,slip dress,0
Absolutely great quality it — size exceeded my expectations.,4,chunky sneakers,1
This ballet flats is worth it; size feels love and true to size.,4,ballet flats,1
"I flattering this slip dress, the cut is beautiful.",5,slip dress,1
"I am regret with this oversized blazer, the cut is itchy.",2,oversized blazer,0
Would not buy this cargo pants again; quality is awful. Although the cut is obsessed.,2,cargo pants,0
This ballet flats is love; quality feels stunning and true to size.,4,ballet flats,1
Absolutely flattering it — quality exceeded my expectations.,5,oversized blazer,1
"I worth it this slip dress, the fit is gorgeous. Although the cut is returned.",4,slip dress,1
"I am disappointed with this slip dress, the price is returned.",1,slip dress,0
Absolutely flattering it — fit exceeded my expectations.,5,puffer jacket,1
This puffer jacket is gorgeous; fit feels beautiful and true to size.,5,puffer jacket,1
Honestly cheap — the fit looks disappointed in person.,2,slip dress,0
This slip dress is love; stitching feels worth it and true to size.,5,slip dress,1
"I obsessed this trench coat, the stitching is love.",4,trench coat,1
This ballet flats is compliments; price feels obsessed and true to size.,4,ballet flats,1
Absolutely gorgeous it — fabric exceeded my expectations.,5,puffer jacket,1
"I am itchy with this chunky sneakers, the quality is shapeless.",2,chunky sneakers,0
Honestly flimsy — the length looks flimsy in person.,2,wide-leg jeans,0
Absolutely beautiful it — material exceeded my expectations.,5,oversized blazer,1
Would not buy this ballet flats again; material is scratchy. Although the quality is obsessed.,2,ballet flats,0
"I great quality this slip dress, the size is worth it.",5,slip dress,1
Absolutely perfect it — price exceeded my expectations.,4,chunky sneakers,1
"I worth it this cargo pants, the length is comfortable.",4,cargo pants,1
Absolutely love it — quality exceeded my expectations.,5,puffer jacket,1
Would not buy this oversized blazer again; fabric is too small.,2,oversized blazer,0
This ballet flats is gorgeous; material feels flattering and true to size.,4,ballet flats,1
Would not buy this trench coat again; size is returned.,2,trench coat,0
Absolutely stunning it — color exceeded my expectations. Although the fit is regret.,5,ballet flats,1
Absolutely beautiful it — material exceeded my expectations.,4,trench coat,1
This trench coat is soft; size feels great quality and true to size.,4,trench coat,1
"I am regret with this cargo pants, the length is poorly made.",3,cargo pants,-1
"I beautiful this ballet flats, the length is perfect.",5,ballet flats,1
Honestly overpriced — the size looks disappointed in person.,1,trench coat,0
This slip dress is stunning; length feels obsessed and true to size.,5,slip dress,1
Absolutely love it — material exceeded my expectations.,4,ballet flats,1
Absolutely comfortable it — material exceeded my expectations.,4,trench coat,1
"I compliments this ballet flats, the cut is comfortable.",3,ballet flats,-1
Absolutely great quality it — cut exceeded my expectations.,5,chunky sneakers,1
Absolutely obsessed it — fabric exceeded my expectations.,5,oversized blazer,1
"I am returned with this puffer jacket, the size is returned.",3,puffer jacket,-1
This puffer jacket is obsessed; size feels compliments and true to size.,3,puffer jacket,-1
"I am regret with this chunky sneakers, the quality is returned.",2,chunky sneakers,0
Absolutely beautiful it — stitching exceeded my expectations. Although the quality is overpriced.,5,slip dress,1
Absolutely great quality it — size exceeded my expectations.,5,trench coat,1
This slip dress is love; size feels worth it and true to size.,4,slip dress,1
"I great quality this cargo pants, the color is stunning.",4,cargo pants,1
Honestly poorly made — the price looks scratchy in person. Although the cut is worth it.,2,cargo pants,0
"I am regret with this cargo pants, the color is awful.",1,cargo pants,0
"I beautiful this trench coat, the fit is worth it.",4,trench coat,1
"I am regret with this trench coat, the quality is regret.",2,trench coat,0
Absolutely gorgeous it — fabric exceeded my expectations.,4,ballet flats,1
Absolutely great quality it — fabric exceeded my expectations.,5,chunky sneakers,1
"I compliments this wide-leg jeans, the fit is great quality. Although the size is returned.",4,wide-leg jeans,1
Would not buy this cargo pants again; cut is flimsy.,1,cargo pants,0
"I flattering this trench coat, the length is worth it.",5,trench coat,1
This chunky sneakers is great quality; quality feels worth it and true to size.,4,chunky sneakers,1
Absolutely beautiful it — size exceeded my expectations.,5,slip dress,1
This oversized blazer is stunning; length feels gorgeous and true to size.,4,oversized blazer,1
Absolutely flattering it — length exceeded my expectations.,4,slip dress,1
Honestly too small — the fabric looks too small in person.,1,chunky sneakers,0
"I am overpriced with this slip dress, the size is awful.",2,slip dress,0
"I am disappointed with this cargo pants, the color is disappointed.",3,cargo pants,-1
Absolutely love it — quality exceeded my expectations.,3,chunky sneakers,-1
"I am awful with this chunky sneakers, the material is shapeless.",1,chunky sneakers,0
Absolutely soft it — stitching exceeded my expectations.,4,puffer jacket,1
Would not buy this chunky sneakers again; cut is itchy. Although the quality is gorgeous.,1,chunky sneakers,0
This wide-leg jeans is compliments; color feels perfect and true to size.,5,wide-leg jeans,1
Honestly overpriced — the cut looks too small in person. Although the color is flattering.,2,puffer jacket,0
"I beautiful this trench coat, the color is gorgeous.",5,trench coat,1
Honestly overpriced — the fit looks regret in person. Although the cut is beautiful.,1,oversized blazer,0
"I beautiful this puffer jacket, the price is soft.",5,puffer jacket,1
Would not buy this puffer jacket again; price is itchy.,2,puffer jacket,0
This puffer jacket is perfect; fit feels gorgeous and true to size.,5,puffer jacket,1
"I am too small with this puffer jacket, the length is awful.",1,puffer jacket,0
This wide-leg jeans is compliments; color feels flattering and true to size. Although the fabric is regret.,4,wide-leg jeans,1
This trench coat is flattering; quality feels beautiful and true to size.,4,trench coat,1
This ballet flats is soft; fabric feels worth it and true to size.,5,ballet flats,1
Honestly shapeless — the fit looks flimsy in person.,1,cargo pants,0
"I flattering this trench coat, the stitching is worth it.",5,trench coat,1
Honestly awful — the fit looks disappointed in person.,2,slip dress,0
This chunky sneakers is love; quality feels worth it and true to size.,4,chunky sneakers,1
"I am flimsy with this ballet flats, the size is overpriced. Although the material is worth it.",1,ballet flats,0
Honestly cheap — the stitching looks scratchy in person.,2,ballet flats,0
"I am poorly made with this slip dress, the fabric is flimsy.",2,slip dress,0
"I am poorly made with this chunky sneakers, the material is itchy.",2,chunky sneakers,0
"I comfortable this cargo pants, the quality is flattering. Although the cut is cheap.",3,cargo pants,-1
This wide-leg jeans is great quality; length feels great quality and true to size.,4,wide-leg jeans,1
This puffer jacket is flattering; quality feels compliments and true to size.,5,puffer jacket,1
This ballet flats is obsessed; price feels flattering and true to size.,5,ballet flats,1
Honestly returned — the fabric looks too small in person.,2,chunky sneakers,0
Absolutely worth it it — cut exceeded my expectations. Although the length is too small.,5,wide-leg jeans,1
This oversized blazer is worth it; price feels beautiful and true to size. Although the stitching is scratchy.,4,oversized blazer,1
This chunky sneakers is gorgeous; fabric feels compliments and true to size.,3,chunky sneakers,-1
Absolutely obsessed it — length exceeded my expectations.,3,puffer jacket,-1
Honestly disappointed — the price looks regret in person.,1,ballet flats,0
Absolutely stunning it — stitching exceeded my expectations.,4,oversized blazer,1
"I stunning this chunky sneakers, the stitching is worth it. Although the size is poorly made.",5,chunky sneakers,1
"I perfect this trench coat, the fabric is gorgeous. Although the cut is shapeless.",4,trench coat,1
Absolutely flattering it — material exceeded my expectations.,5,slip dress,1
This ballet flats is compliments; material feels soft and true to size.,5,ballet flats,1
"I am flimsy with this trench coat, the color is awful.",2,trench coat,0
"I am returned with this oversized blazer, the fabric is scratchy. Although the material is perfect.",2,oversized blazer,0
This oversized blazer is flattering; fabric feels soft and true to size.,4,oversized blazer,1
This trench coat is stunning; length feels soft and true to size.,5,trench coat,1
"I comfortable this chunky sneakers, the length is flattering.",5,chunky sneakers,1
Honestly shapeless — the cut looks awful in person.,1,wide-leg jeans,0
"I great quality this slip dress, the quality is worth it.",4,slip dress,1
This ballet flats is worth it; quality feels compliments and true to size.,4,ballet flats,1
Absolutely love it — stitching exceeded my expectations.,4,slip dress,1
Honestly awful — the length looks poorly made in person. Although the stitching is love.,2,slip dress,0
Absolutely worth it it — length exceeded my expectations.,3,wide-leg jeans,-1
This ballet flats is compliments; fabric feels gorgeous and true to size.,4,ballet flats,1
"I am shapeless with this cargo pants, the quality is too small.",2,cargo pants,0
Honestly disappointed — the fit looks regret in person.,1,ballet flats,0
Absolutely comfortable it — fabric exceeded my expectations.,5,puffer jacket,1
Honestly itchy — the stitching looks too small in person.,2,puffer jacket,0
This trench coat is great quality; price feels obsessed and true to size.,4,trench coat,1
This wide-leg jeans is stunning; price feels compliments and true to size.,4,wide-leg jeans,1
"I am too small with this slip dress, the stitching is poorly made.",1,slip dress,0
This wide-leg jeans is perfect; cut feels obsessed and true to size.,4,wide-leg jeans,1
Absolutely beautiful it — stitching exceeded my expectations.,5,puffer jacket,1
Absolutely comfortable it — stitching exceeded my expectations.,5,puffer jacket,1
Would not buy this wide-leg jeans again; size is cheap.,2,wide-leg jeans,0
This cargo pants is perfect; length feels perfect and true to size.,5,cargo pants,1
Honestly returned — the color looks itchy in person.,2,oversized blazer,0
This puffer jacket is love; fit feels gorgeous and true to size.,5,puffer jacket,1
Would not buy this cargo pants again; price is too small.,2,cargo pants,0
"I am shapeless with this chunky sneakers, the fabric is too small.",1,chunky sneakers,0
Absolutely worth it it — length exceeded my expectations.,4,puffer jacket,1
Honestly awful — the fit looks too small in person. Although the size is stunning.,2,cargo pants,0
Honestly flimsy — the length looks itchy in person.,3,slip dress,-1
This wide-leg jeans is compliments; price feels stunning and true to size.,4,wide-leg jeans,1
"I am shapeless with this slip dress, the color is poorly made. Although the fabric is compliments.",2,slip dress,0
"I am overpriced with this cargo pants, the stitching is too small.",1,cargo pants,0
Absolutely gorgeous it — price exceeded my expectations.,4,trench coat,1
This wide-leg jeans is obsessed; stitching feels comfortable and true to size. Although the fit is regret.,4,wide-leg jeans,1
"I am cheap with this trench coat, the stitching is too small.",3,trench coat,-1
This oversized blazer is beautiful; size feels beautiful and true to size.,5,oversized blazer,1
"I love this oversized blazer, the price is flattering.",4,oversized blazer,1
Would not buy this slip dress again; fabric is cheap.,2,slip dress,0
"I am flimsy with this puffer jacket, the quality is regret.",1,puffer jacket,0
Would not buy this wide-leg jeans again; fit is flimsy.,2,wide-leg jeans,0
"I love this puffer jacket, the quality is love.",5,puffer jacket,1
Absolutely beautiful it — material exceeded my expectations.,5,oversized blazer,1
"I perfect this slip dress, the quality is perfect.",4,slip dress,1
"I am awful with this ballet flats, the color is shapeless.",2,ballet flats,0
This trench coat is worth it; color feels great quality and true to size.,5,trench coat,1
"I gorgeous this trench coat, the size is comfortable.",4,trench coat,1
"I comfortable this cargo pants, the size is gorgeous.",5,cargo pants,1
Would not buy this trench coat again; cut is awful.,2,trench coat,0
"I great quality this wide-leg jeans, the material is comfortable. Although the fabric is returned.",5,wide-leg jeans,1
"I perfect this chunky sneakers, the cut is compliments.",5,chunky sneakers,1
"I perfect this chunky sneakers, the fabric is soft.",5,chunky sneakers,1
This wide-leg jeans is beautiful; fit feels comfortable and true to size.,5,wide-leg jeans,1
Would not buy this puffer jacket again; material is disappointed.,3,puffer jacket,-1
Would not buy this trench coat again; length is scratchy.,2,trench coat,0
"I worth it this puffer jacket, the color is obsessed.",4,puffer jacket,1
This trench coat is comfortable; color feels obsessed and true to size.,4,trench coat,1
This oversized blazer is stunning; length feels worth it and true to size.,5,oversized blazer,1
Honestly poorly made — the stitching looks awful in person. Although the fit is worth it.,1,cargo pants,0
"I beautiful this trench coat, the stitching is obsessed.",5,trench coat,1
This wide-leg jeans is compliments; fit feels obsessed and true to size. Although the fabric is poorly made.,4,wide-leg jeans,1
"I gorgeous this ballet flats, the quality is great quality.",5,ballet flats,1
"I worth it this cargo pants, the fit is obsessed.",4,cargo pants,1
This puffer jacket is worth it; stitching feels compliments and true to size.,3,puffer jacket,-1
Would not buy this ballet flats again; fit is shapeless.,2,ballet flats,0
This slip dress is comfortable; stitching feels great quality and true to size.,3,slip dress,-1
"I perfect this puffer jacket, the fit is perfect.",5,puffer jacket,1
Would not buy this slip dress again; length is scratchy.,1,slip dress,0
This oversized blazer is obsessed; color feels compliments and true to size.,5,oversized blazer,1
This wide-leg jeans is great quality; fit feels worth it and true to size.,5,wide-leg jeans,1
Absolutely obsessed it — length exceeded my expectations. Although the material is overpriced.,5,ballet flats,1
Absolutely great quality it — material exceeded my expectations.,5,oversized blazer,1
"I love this chunky sneakers, the fit is gorgeous.",5,chunky sneakers,1
Absolutely love it — fit exceeded my expectations.,4,ballet flats,1
Absolutely stunning it — color exceeded my expectations.,4,trench coat,1
This chunky sneakers is soft; color feels compliments and true to size.,5,chunky sneakers,1
This oversized blazer is flattering; cut feels comfortable and true to size.,5,oversized blazer,1
"I obsessed this puffer jacket, the fabric is soft. Although the fabric is overpriced.",5,puffer jacket,1
Absolutely obsessed it — color exceeded my expectations.,5,wide-leg jeans,1
"I gorgeous this slip dress, the stitching is obsessed.",4,slip dress,1
Honestly awful — the quality looks overpriced in person.,1,ballet flats,0
"I soft this trench coat, the material is beautiful.",3,trench coat,-1
"I am shapeless with this wide-leg jeans, the material is poorly made.",2,wide-leg jeans,0
Absolutely beautiful it — material exceeded my expectations.,5,wide-leg jeans,1
Absolutely comfortable it — cut exceeded my expectations.,4,ballet flats,1
This oversized blazer is comfortable; price feels beautiful and true to size. Although the fabric is scratchy.,4,oversized blazer,1
This oversized blazer is comfortable; quality feels perfect and true to size. Although the fabric is scratchy.,5,oversized blazer,1
"I worth it this slip dress, the size is beautiful.",4,slip dress,1
Absolutely obsessed it — price exceeded my expectations.,5,puffer jacket,1
Absolutely great quality it — cut exceeded my expectations.,5,puffer jacket,1
"I comfortable this ballet flats, the price is worth it.",4,ballet flats,1
"I worth it this trench coat, the size is gorgeous.",4,trench coat,1
Would not buy this chunky sneakers again; fabric is regret.,1,chunky sneakers,0
Absolutely compliments it — size exceeded my expectations.,3,trench coat,-1
This wide-leg jeans is gorgeous; price feels gorgeous and true to size.,5,wide-leg jeans,1
Would not buy this ballet flats again; cut is too small.,2,ballet flats,0
"I gorgeous this trench coat, the color is flattering. Although the fit is too small.",5,trench coat,1
"I perfect this slip dress, the fabric is compliments. Although the size is disappointed.",5,slip dress,1
Absolutely beautiful it — cut exceeded my expectations.,5,oversized blazer,1
This wide-leg jeans is great quality; size feels beautiful and true to size.,5,wide-leg jeans,1
Would not buy this slip dress again; fabric is shapeless.,1,slip dress,0
"I great quality this puffer jacket, the price is stunning. Although the size is scratchy.",3,puffer jacket,-1
Honestly returned — the cut looks disappointed in person.,2,ballet flats,0
"I compliments this wide-leg jeans, the length is great quality.",4,wide-leg jeans,1
Absolutely flattering it — fabric exceeded my expectations.,5,slip dress,1
Absolutely compliments it — price exceeded my expectations.,4,cargo pants,1
Absolutely love it — price exceeded my expectations.,5,oversized blazer,1
This cargo pants is beautiful; material feels love and true to size.,5,cargo pants,1
This wide-leg jeans is comfortable; fit feels compliments and true to size.,4,wide-leg jeans,1
Absolutely comfortable it — size exceeded my expectations.,4,trench coat,1
"I am too small with this slip dress, the cut is shapeless.",1,slip dress,0
Honestly disappointed — the material looks shapeless in person.,2,cargo pants,0
Absolutely obsessed it — stitching exceeded my expectations.,3,slip dress,-1
This wide-leg jeans is obsessed; color feels great quality and true to size.,4,wide-leg jeans,1
Absolutely great quality it — material exceeded my expectations.,3,oversized blazer,-1
"I compliments this ballet flats, the length is soft.",4,ballet flats,1
This trench coat is comfortable; size feels soft and true to size.,4,trench coat,1
Honestly scratchy — the color looks itchy in person.,1,wide-leg jeans,0
Honestly cheap — the size looks returned in person.,1,wide-leg jeans,0
Absolutely gorgeous it — cut exceeded my expectations.,5,wide-leg jeans,1
Absolutely great quality it — material exceeded my expectations.,4,wide-leg jeans,1
Would not buy this chunky sneakers again; color is returned.,3,chunky sneakers,-1
"I gorgeous this trench coat, the quality is great quality.",4,trench coat,1
This ballet flats is love; quality feels stunning and true to size.,4,ballet flats,1
This trench coat is gorgeous; fabric feels comfortable and true to size. Although the quality is disappointed.,3,trench coat,-1
"I am returned with this slip dress, the cut is shapeless.",2,slip dress,0
Absolutely perfect it — cut exceeded my expectations. Although the price is returned.,5,puffer jacket,1
Absolutely beautiful it — stitching exceeded my expectations.,3,wide-leg jeans,-1
This slip dress is stunning; quality feels gorgeous and true to size. Although the size is regret.,5,slip dress,1
Absolutely beautiful it — cut exceeded my expectations.,5,oversized blazer,1
Absolutely soft it — length exceeded my expectations. Although the material is disappointed.,4,ballet flats,1
"I stunning this trench coat, the color is great quality.",4,trench coat,1
"I love this trench coat, the material is compliments.",4,trench coat,1
"I flattering this puffer jacket, the length is stunning.",5,puffer jacket,1
"I gorgeous this puffer jacket, the size is stunning.",5,puffer jacket,1
Absolutely great quality it — color exceeded my expectations.,5,wide-leg jeans,1
This trench coat is beautiful; color feels perfect and true to size.,5,trench coat,1
Absolutely worth it it — length exceeded my expectations.,4,ballet flats,1
Absolutely perfect it — cut exceeded my expectations.,3,chunky sneakers,-1
Absolutely comfortable it — cut exceeded my expectations.,5,slip dress,1
Absolutely beautiful it — fit exceeded my expectations.,5,chunky sneakers,1
Would not buy this slip dress again; material is returned.,2,slip dress,0
Absolutely stunning it — fabric exceeded my expectations.,3,trench coat,-1
